n,edge_prob,seed,algo,time,size,valid,opt_size,gap
8,0.3,2,ACO,0.01702210001531057,4,True,4,0
12,0.3,0,Vét cạn,0.0003302999830339104,4,True,4,0
12,0.3,0,Nhánh cận,6.86999992467463e-05,4,True,4,0
12,0.3,0,Tham lam,2.090001362375915e-05,4,True,4,0
12,0.3,0,ACO,0.024610500026028603,4,True,4,0
12,0.3,1,Vét cạn,7.270000060088933e-05,3,True,3,0
12,0.3,1,Nhánh cận,5.8600009651854634e-05,3,True,3,0
12,0.3,1,Tham lam,1.4500023098662496e-05,3,True,3,0
12,0.3,1,ACO,0.02173820001189597,3,True,3,0
12,0.3,2,Vét cạn,0.0005107999895699322,5,True,5,0
12,0.3,2,Nhánh cận,0.00040329998591914773,5,True,5,0
12,0.3,2,Tham lam,4.3400010326877236e-05,6,True,5,1
12,0.3,2,ACO,0.030615600000601262,5,True,5,0
16,0.3,0,Vét cạn,0.0016152000171132386,5,True,5,0
16,0.3,0,Nhánh cận,0.0008034000056795776,5,True,5,0
16,0.3,0,Tham lam,6.829999620094895e-05,6,True,5,1
16,0.3,0,ACO,0.055183299991767853,5,True,5,0
16,0.3,1,Vét cạn,0.00034339999547228217,4,True,4,0
16,0.3,1,Nhánh cận,0.0002747999969869852,4,True,4,0
16,0.3,1,Tham lam,2.7900008717551827e-05,4,True,4,0
16,0.3,1,ACO,0.04986930001177825,4,True,4,0
16,0.3,2,Vét cạn,0.0005486999871209264,4,True,4,0
16,0.3,2,Nhánh cận,0.0002345999819226563,4,True,4,0
16,0.3,2,Tham lam,3.920000744983554e-05,4,True,4,0
16,0.3,2,ACO,0.06175180000718683,4,True,4,0
20,0.3,0,Nhánh cận,0.0003896999987773597,4,True,4,0
20,0.3,0,Tham lam,5.740000051446259e-05,5,True,4,1
20,0.3,0,ACO,0.05177729998831637,4,True,4,0
20,0.3,1,Nhánh cận,8.05000017862767e-05,3,True,3,0
20,0.3,1,Tham lam,3.090000245720148e-05,3,True,3,0
20,0.3,1,ACO,0.03992599999764934,3,True,3,0
20,0.3,2,Nhánh cận,0.00018840000848285854,4,True,4,0
20,0.3,2,Tham lam,3.709999145939946e-05,4,True,4,0
20,0.3,2,ACO,0.05061149998800829,4,True,4,0
30,0.3,0,Nhánh cận,0.0004397000011522323,4,True,4,0
30,0.3,0,Tham lam,6.659998325631022e-05,4,True,4,0
30,0.3,0,ACO,0.11154429998714477,4,True,4,0
30,0.3,1,Nhánh cận,0.0013608000008389354,4,True,4,0
30,0.3,1,Tham lam,7.380000897683203e-05,4,True,4,0
30,0.3,1,ACO,0.12423260000650771,4,True,4,0
30,0.3,2,Nhánh cận,0.0009901000012177974,4,True,4,0
30,0.3,2,Tham lam,0.00010620002285577357,4,True,4,0
30,0.3,2,ACO,0.18539950001286343,4,True,4,0
50,0.3,0,Tham lam,0.00031689999741502106,5,True,,
50,0.3,0,ACO,0.5657226999755949,5,True,,
50,0.3,1,Tham lam,0.0003422000154387206,6,True,,
50,0.3,1,ACO,0.6058904999808874,5,True,,
50,0.3,2,Tham lam,0.0003081000177189708,5,True,,
50,0.3,2,ACO,0.6104729000071529,4,True,,
100,0.3,0,Tham lam,0.0013712999934796244,6,True,,
100,0.3,0,ACO,2.2364937999809626,6,True,,
100,0.3,1,Tham lam,0.0008877000072970986,6,True,,
100,0.3,1,ACO,1.6888084999809507,5,True,,
100,0.3,2,Tham lam,0.000980400014668703,7,True,,
100,0.3,2,ACO,2.1231675000162795,6,True,,
8,0.5,0,Vét cạn,3.170000854879618e-05,3,True,3,0
8,0.5,0,Nhánh cận,7.51999905332923e-05,3,True,3,0
8,0.5,0,Tham lam,1.5700003132224083e-05,3,True,3,0
8,0.5,0,ACO,0.03138810000382364,3,True,3,0
8,0.5,1,Vét cạn,1.0799994925037026e-05,1,True,1,0
8,0.5,1,Nhánh cận,2.1700019715353847e-05,1,True,1,0
8,0.5,1,Tham lam,8.200004231184721e-06,1,True,1,0
8,0.5,1,ACO,0.014972600009059533,1,True,1,0
8,0.5,2,Vét cạn,1.930000144056976e-05,2,True,2,0
8,0.5,2,Nhánh cận,2.6599998818710446e-05,2,True,2,0
8,0.5,2,Tham lam,1.09999964479357e-05,2,True,2,0
8,0.5,2,ACO,0.0182621999992989,2,True,2,0
12,0.5,0,Vét cạn,9.700001101009548e-05,3,True,3,0
12,0.5,0,Nhánh cận,0.00010749997454695404,3,True,3,0
12,0.5,0,Tham lam,2.2899999748915434e-05,3,True,3,0
12,0.5,0,ACO,0.04404840001370758,3,True,3,0
12,0.5,1,Vét cạn,3.090000245720148e-05,2,True,2,0
12,0.5,1,Nhánh cận,4.889999399892986e-05,2,True,2,0
12,0.5,1,Tham lam,2.479998511262238e-05,2,True,2,0
12,0.5,1,ACO,0.037070500024128705,2,True,2,0
12,0.5,2,Vét cạn,8.129997877404094e-05,3,True,3,0
12,0.5,2,Nhánh cận,0.00010219999239780009,3,True,3,0
12,0.5,2,Tham lam,2.500001573935151e-05,3,True,3,0
12,0.5,2,ACO,0.0485167000151705,3,True,3,0
16,0.5,0,Vét cạn,0.00014050002209842205,3,True,3,0
16,0.5,0,Nhánh cận,0.00016110000433400273,3,True,3,0
16,0.5,0,Tham lam,4.300000728107989e-05,3,True,3,0
16,0.5,0,ACO,0.06741560000227764,3,True,3,0
16,0.5,1,Vét cạn,3.3199990866705775e-05,2,True,2,0
16,0.5,1,Nhánh cận,4.270000499673188e-05,2,True,2,0
16,0.5,1,Tham lam,2.2799998987466097e-05,2,True,2,0
16,0.5,1,ACO,0.03870520001510158,2,True,2,0
16,0.5,2,Vét cạn,3.300001844763756e-05,2,True,2,0
16,0.5,2,Nhánh cận,0.00011660001473501325,2,True,2,0
16,0.5,2,Tham lam,3.5699980799108744e-05,3,True,2,1
16,0.5,2,ACO,0.04552859999239445,2,True,2,0
20,0.5,0,Nhánh cận,0.00011610001092776656,2,True,2,0
20,0.5,0,Tham lam,4.630000330507755e-05,3,True,2,1
20,0.5,0,ACO,0.05210339999757707,2,True,2,0
20,0.5,1,Nhánh cận,6.199997733347118e-05,2,True,2,0
20,0.5,1,Tham lam,3.139997716061771e-05,2,True,2,0
20,0.5,1,ACO,0.05046229998697527,2,True,2,0
20,0.5,2,Nhánh cận,0.00024510000366717577,3,True,3,0
20,0.5,2,Tham lam,4.9700000090524554e-05,3,True,3,0
20,0.5,2,ACO,0.08982140000443906,3,True,3,0
30,0.5,0,Nhánh cận,0.0008957000100053847,3,True,3,0
30,0.5,0,Tham lam,0.0002196999848820269,3,True,3,0
30,0.5,0,ACO,0.18830909999087453,3,True,3,0
30,0.5,1,Nhánh cận,0.0007315999828279018,3,True,3,0
30,0.5,1,Tham lam,0.00010090001160278916,3,True,3,0
30,0.5,1,ACO,0.15403959999093786,3,True,3,0
30,0.5,2,Nhánh cận,9.250000584870577e-05,2,True,2,0
30,0.5,2,Tham lam,6.19000056758523e-05,2,True,2,0
30,0.5,2,ACO,0.15765539999119937,2,True,2,0
50,0.5,0,Tham lam,0.0002849999873433262,3,True,,
50,0.5,0,ACO,0.5095453999820165,3,True,,
50,0.5,1,Tham lam,0.0002728999825194478,3,True,,
50,0.5,1,ACO,0.5314293999981601,3,True,,
50,0.5,2,Tham lam,0.0002660999889485538,3,True,,
50,0.5,2,ACO,0.2911483999923803,3,True,,
100,0.5,0,Tham lam,0.000745099998312071,4,True,,
100,0.5,0,ACO,1.3738249999878462,4,True,,
100,0.5,1,Tham lam,0.0007721000001765788,4,True,,
100,0.5,1,ACO,1.5296056999941356,4,True,,
100,0.5,2,Tham lam,0.0010810000239871442,4,True,,
100,0.5,2,ACO,2.470967900007963,3,True,,
